airport_name,iata_code,country_code,city,airport_type,latitude,longitude
Texas Gulf Coast Regional Airport,LJN,US,Angleton,medium_airport,29.108601,-95.462097
Lake Charles Regional Airport,LCH,US,Lake Charles,medium_airport,30.126100540161133,-93.22329711914062
Rickenbacker International Airport,LCK,US,Columbus,medium_airport,39.813801,-82.927803
Lebanon Municipal Airport,LEB,US,Lebanon,medium_airport,43.626098632799994,-72.30419921880001
Leesburg International Airport,LEE,US,Leesburg,medium_airport,28.82309914,-81.80870056
Blue Grass Airport,LEX,US,Lexington,medium_airport,38.035066,-84.606738
Langley Air Force Base,LFI,US,Hampton,medium_airport,37.082901,-76.360497
Angelina County Airport,LFK,US,Lufkin,medium_airport,31.2339992523,-94.75
Lafayette Regional Airport,LFT,US,Lafayette,medium_airport,30.205299,-91.987602
LaGuardia Airport,LGA,US,New York,large_airport,40.777199,-73.872597
Long Beach International Airport,LGB,US,Long Beach,large_airport,33.816523,-118.149891
Logan-Cache Airport,LGU,US,Logan,medium_airport,41.7911987305,-111.851997375
Bill & Hillary Clinton National Airport/Adams Field,LIT,US,Little Rock,medium_airport,34.729222,-92.223591
Crater Lake-Klamath Regional Airport,LMT,US,Klamath Falls,medium_airport,42.156101,-121.733002
Hunt Field,LND,US,Lander,medium_airport,42.815201,-108.730003
Lincoln Airport,LNK,US,Lincoln,medium_airport,40.844882,-96.76178
Lancaster Airport,LNS,US,Lancaster,medium_airport,40.121700286865234,-76.29609680175781
Derby Field,LOL,US,Lovelock,medium_airport,40.0663986206,-118.565002441
Bowman Field,LOU,US,Louisville,medium_airport,38.2280006409,-85.6636962891
London-Corbin Airport/Magee Field,LOZ,US,London,medium_airport,37.0821990967,-84.08489990230001
Laredo International Airport,LRD,US,Laredo,medium_airport,27.5438,-99.461601
Little Rock Air Force Base,LRF,US,Jacksonville,medium_airport,34.916900634799994,-92.14969635010002
Las Cruces International Airport,LRU,US,Las Cruces,medium_airport,32.289398,-106.921997
La Crosse Regional Airport,LSE,US,La Crosse,medium_airport,43.879002,-91.256699
Lawson Army Air Field,LSF,US,Fort Benning,medium_airport,32.332546,-84.988003
Nellis Air Force Base,LSV,US,Las Vegas,medium_airport,36.2361984253,-115.033996582
Altus Air Force Base,LTS,US,Altus,medium_airport,34.667099,-99.266701
Luke Air Force Base,LUF,US,Glendale,medium_airport,33.535,-112.383003
Cincinnati Municipal Airport Lunken Field,LUK,US,Cincinnati,medium_airport,39.102357,-84.418945
Mission Field,LVM,US,Livingston,medium_airport,45.6994018555,-110.447998047
Las Vegas Municipal Airport,LVS,US,Las Vegas,medium_airport,35.654202,-105.141998
Greenbrier Valley Airport,LWB,US,Lewisburg,medium_airport,37.857914,-80.400438
Lawrence Municipal Airport,LWM,US,Lawrence,medium_airport,42.717201232899995,-71.1233978271
